[2026-06-20 15:39:52.680] [INFO] Logger initialized
[2026-06-20 15:39:52.682] [EVT.ECO] Ecosystem created: 200x150, seed=42
[2026-06-20 15:39:52.699] [EVT.SPAWN] BerryBush at (902,602)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Mushroom at (1647,2426)
[2026-06-20 15:39:52.701] [EVT.SPAWN] GrassTuft at (974,432)
[2026-06-20 15:39:52.701] [EVT.SPAWN] BerryBush at (3305,894)
[2026-06-20 15:39:52.701] [EVT.SPAWN] BerryBush at (2461,716)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Mushroom at (285,2901)
[2026-06-20 15:39:52.701] [EVT.SPAWN] GrassTuft at (1711,330)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Cactus at (57,3978)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Cactus at (2402,2959)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Mushroom at (5806,2816)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Plant at (2893,1599)
[2026-06-20 15:39:52.701] [EVT.SPAWN] BerryBush at (4300,3431)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Plant at (1406,1274)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Plant at (2056,1554)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Toadstool at (5409,1341)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Mushroom at (1886,2687)
[2026-06-20 15:39:52.701] [EVT.SPAWN] GrassTuft at (6167,2225)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Toadstool at (4608,1939)
[2026-06-20 15:39:52.701] [EVT.SPAWN] GrassTuft at (3470,2956)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Mushroom at (5682,3189)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Pine at (5632,3737)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Flowers at (4059,2404)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Cactus at (5046,2792)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Mushroom at (1732,4233)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Pine at (1992,881)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Pine at (1999,4412)
[2026-06-20 15:39:52.701] [EVT.SPAWN] GrassTuft at (4328,3146)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Plant at (4385,2504)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Moss at (637,652)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Flowers at (1172,3090)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Pine at (2280,2953)
[2026-06-20 15:39:52.701] [EVT.SPAWN] GrassTuft at (4189,4678)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Moss at (4809,2167)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Moss at (2600,9)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Flowers at (5100,2223)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Moss at (5393,2424)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Flowers at (2414,644)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Pine at (5284,1915)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Moss at (602,2545)
[2026-06-20 15:39:52.701] [EVT.SPAWN] GrassTuft at (5495,3816)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Pine at (1195,3416)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Pine at (2306,2761)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Plant at (5651,2459)
[2026-06-20 15:39:52.701] [EVT.SPAWN] BerryBush at (740,735)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Cactus at (3961,2551)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Mushroom at (2612,3987)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Mushroom at (3976,2945)
[2026-06-20 15:39:52.701] [EVT.SPAWN] Flowers at (700,2372)
[2026-06-20 15:39:52.706] [EVT.SPAWN] GrassTuft at (5212,4607)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Toadstool at (2471,3572)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Flowers at (4362,4550)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Flowers at (4028,1260)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Plant at (793,828)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Plant at (987,2740)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Plant at (798,4749)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Moss at (4013,2058)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Cactus at (229,4545)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Mushroom at (3912,2790)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Pine at (2658,3481)
[2026-06-20 15:39:52.706] [EVT.SPAWN] GrassTuft at (261,852)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Toadstool at (241,219)
[2026-06-20 15:39:52.706] [EVT.SPAWN] BerryBush at (3982,4047)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Pine at (4831,1939)
[2026-06-20 15:39:52.706] [EVT.SPAWN] BerryBush at (3757,930)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Moss at (53,2461)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Moss at (6091,2564)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Moss at (6088,3651)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Pine at (5821,4586)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Pine at (4839,4406)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Cactus at (2760,529)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Plant at (4572,3534)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Cactus at (2301,1044)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Toadstool at (1993,1742)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Plant at (4942,3679)
[2026-06-20 15:39:52.706] [EVT.SPAWN] Plant at (1984,4155)
[2026-06-20 15:39:52.706] [EVT.SPAWN] BerryBush at (4252,2964)
