[2026-06-21 04:12:15.828] [INFO] Logger initialized
[2026-06-21 04:12:15.830] [EVT.ECO] Ecosystem created: 200x150, seed=42
[2026-06-21 04:12:15.849] [EVT.SPAWN] Grass at (902,602)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Cactus at (1647,2426)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Pine at (974,432)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Grass at (3305,894)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Seaweed at (4596,340)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Algae at (4704,93)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Moss at (4966,713)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Grass at (1852,2649)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Cactus at (246,1037)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Moss at (4807,3963)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Moss at (3490,3045)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Coral at (4532,533)
[2026-06-21 04:12:15.851] [EVT.SPAWN] PineTree at (1271,4486)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Kelp at (3713,89)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Seaweed at (4206,204)
[2026-06-21 04:12:15.851] [EVT.SPAWN] PineTree at (2060,3192)
[2026-06-21 04:12:15.851] [EVT.SPAWN] PineTree at (2246,746)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Bush at (4175,4130)
[2026-06-21 04:12:15.851] [EVT.SPAWN] OakTree at (4301,1974)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Grass at (2030,2828)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Pine at (1047,2700)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Pine at (611,904)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Kelp at (5694,1200)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Grass at (1809,1762)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Grass at (985,3010)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Pine at (3543,529)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Pine at (5271,535)
[2026-06-21 04:12:15.851] [EVT.SPAWN] BerryBush at (3467,2289)
[2026-06-21 04:12:15.851] [EVT.SPAWN] Bush at (1762,839)
[2026-06-21 04:12:15.851] [EVT.SPAWN] BerryBush at (5700,169)
