[2026-06-20 17:51:00.907] [INFO] Logger initialized
[2026-06-20 17:51:00.909] [EVT.ECO] Ecosystem created: 200x150, seed=42
[2026-06-20 17:51:00.930] [EVT.SPAWN] Bush at (1022,443)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Algae at (3300,167)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Grass at (3215,2614)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Plant at (3824,1912)
[2026-06-20 17:51:00.930] [EVT.SPAWN] BerryBush at (744,1384)
[2026-06-20 17:51:00.930] [EVT.SPAWN] OakTree at (3863,2246)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Mushroom at (5261,2758)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Plant at (3021,755)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Mushroom at (3544,1076)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Toadstool at (1529,254)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Moss at (2268,2186)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Toadstool at (4406,1165)
[2026-06-20 17:51:00.930] [EVT.SPAWN] PineTree at (3510,2559)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Plant at (906,3844)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Mushroom at (5618,3082)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Flowers at (4817,3941)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Plant at (2277,4260)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Bush at (4641,4349)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Kelp at (3636,170)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Kelp at (4602,98)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Moss at (1811,4623)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Kelp at (3359,3619)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Plant at (774,109)
[2026-06-20 17:51:00.930] [EVT.SPAWN] BerryBush at (1814,1318)
[2026-06-20 17:51:00.930] [EVT.SPAWN] WaterLily at (3796,3622)
[2026-06-20 17:51:00.930] [EVT.SPAWN] PineTree at (4104,3659)
[2026-06-20 17:51:00.930] [EVT.SPAWN] PineTree at (4821,4469)
