[2026-06-20 16:29:20.302] [INFO] Logger initialized
[2026-06-20 16:29:20.303] [EVT.ECO] Ecosystem created: 200x150, seed=42
[2026-06-20 16:29:20.325] [EVT.SPAWN] Plant at (798,4749)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Moss at (4013,2058)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Cactus at (229,4545)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Mushroom at (3912,2790)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Pine at (5659,924)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Toadstool at (3049,994)
[2026-06-20 16:29:20.325] [EVT.SPAWN] GrassTuft at (1441,3314)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Cactus at (6194,4625)
[2026-06-20 16:29:20.325] [EVT.SPAWN] GrassTuft at (2645,3316)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Pine at (3436,994)
[2026-06-20 16:29:20.325] [EVT.SPAWN] GrassTuft at (3029,2197)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Flowers at (730,2970)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Moss at (5630,2095)
[2026-06-20 16:29:20.325] [EVT.SPAWN] GrassTuft at (637,496)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Mushroom at (2928,2040)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Plant at (5252,571)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Mushroom at (881,1998)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Toadstool at (3485,3407)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Plant at (589,2010)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Pine at (3355,4220)
[2026-06-20 16:29:20.325] [EVT.SPAWN] BerryBush at (1303,4475)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Plant at (4334,1026)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Flowers at (4475,1687)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Flowers at (4367,2846)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Cactus at (4290,2138)
[2026-06-20 16:29:20.325] [EVT.SPAWN] GrassTuft at (2411,742)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Pine at (2310,334)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Toadstool at (3417,3336)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Flowers at (394,2206)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Toadstool at (4169,3842)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Flowers at (3860,2002)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Pine at (3190,1729)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Pine at (3553,3810)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Pine at (5456,2815)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Plant at (2967,3219)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Mushroom at (2297,3804)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Flowers at (4132,3156)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Flowers at (5706,3990)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Plant at (4243,2520)
[2026-06-20 16:29:20.325] [EVT.SPAWN] BerryBush at (2371,2027)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Moss at (989,4236)
[2026-06-20 16:29:20.325] [EVT.SPAWN] BerryBush at (5005,1828)
[2026-06-20 16:29:20.325] [EVT.SPAWN] Pine at (1288,4037)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Moss at (3726,3921)
[2026-06-20 16:29:20.326] [EVT.SPAWN] GrassTuft at (2479,1510)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Toadstool at (4180,2067)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Flowers at (5964,874)
[2026-06-20 16:29:20.326] [EVT.SPAWN] GrassTuft at (2952,4097)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Flowers at (3505,3149)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Cactus at (4715,2967)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Pine at (1267,1614)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Pine at (1311,1072)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Moss at (3305,1749)
[2026-06-20 16:29:20.326] [EVT.SPAWN] GrassTuft at (1544,619)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Plant at (1975,710)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Flowers at (5933,239)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Moss at (5572,1618)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Cactus at (2647,2920)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Flowers at (5429,4139)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Flowers at (2881,284)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Mushroom at (5605,3781)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Toadstool at (4522,2354)
[2026-06-20 16:29:20.326] [EVT.SPAWN] GrassTuft at (2424,2856)
[2026-06-20 16:29:20.326] [EVT.SPAWN] GrassTuft at (1147,4743)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Flowers at (839,2262)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Mushroom at (4601,3877)
[2026-06-20 16:29:20.326] [EVT.SPAWN] GrassTuft at (1649,4020)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Flowers at (3692,2084)
[2026-06-20 16:29:20.326] [EVT.SPAWN] BerryBush at (5128,3547)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Mushroom at (922,1855)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Flowers at (4070,2355)
[2026-06-20 16:29:20.326] [EVT.SPAWN] BerryBush at (920,4463)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Pine at (936,403)
[2026-06-20 16:29:20.326] [EVT.SPAWN] BerryBush at (3646,2799)
[2026-06-20 16:29:20.326] [EVT.SPAWN] GrassTuft at (6213,2891)
[2026-06-20 16:29:20.326] [EVT.SPAWN] BerryBush at (5185,4734)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Plant at (55,30)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Toadstool at (4344,586)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Pine at (5081,3875)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Moss at (998,177)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Cactus at (2150,2950)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Cactus at (6116,2251)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Moss at (4138,1763)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Pine at (1234,2295)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Moss at (4020,2906)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Plant at (5790,4404)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Moss at (54,1779)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Mushroom at (1804,2679)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Toadstool at (1941,1907)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Cactus at (2177,2923)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Toadstool at (1976,3775)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Toadstool at (1426,10)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Plant at (5974,1356)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Plant at (4860,1028)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Moss at (503,746)
[2026-06-20 16:29:20.326] [EVT.SPAWN] Gazelle at (3251,431)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Rabbit at (4838,4431)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Deer at (5446,2354)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Goat at (2275,2782)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Sheep at (3969,1548)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Horse at (2144,1146)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Turtle at (2095,2725)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Turtle at (4025,4176)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Deer at (237,1174)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Deer at (5284,4776)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Goat at (3797,2926)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Horse at (1009,2547)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Salmon at (3368,3619)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Fish at (3300,167)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Fish at (4328,4775)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Goat at (1728,2)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Sheep at (5851,2814)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Turtle at (481,2150)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Lizard at (1929,1701)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Goat at (4406,1165)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Fish at (1823,3868)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Fish at (3190,233)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Gazelle at (2860,4462)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Fish at (3636,170)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Rabbit at (1247,26)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Deer at (5423,3862)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Turtle at (5574,1700)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Turtle at (3187,3565)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Rabbit at (2465,902)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Sheep at (2818,645)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Rabbit at (903,1472)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Rabbit at (5444,4650)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Lizard at (1369,1452)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Sheep at (2097,225)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Goat at (2377,1361)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Salmon at (3796,3622)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Lizard at (4320,3659)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Sheep at (3304,688)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Goat at (5223,455)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Salmon at (3948,196)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Lizard at (4910,2299)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Goat at (1909,1327)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Rabbit at (4903,4412)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Goat at (274,2296)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Salmon at (3434,3629)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Goat at (4264,3788)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Goat at (588,3990)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Fish at (4481,1819)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Gazelle at (2727,1276)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Rabbit at (3600,4309)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Horse at (4530,3548)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Turtle at (5175,1274)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Salmon at (4415,2742)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Gazelle at (6335,1600)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Sheep at (1303,2699)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Fish at (4018,62)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Lizard at (2556,2115)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Fish at (1194,3274)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Lizard at (6380,4563)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Lizard at (2230,1732)
[2026-06-20 16:29:20.327] [EVT.SPAWN] Wolf at (2112,3108)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Fox at (2721,1268)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Eagle at (3275,1602)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Crocodile at (1311,2979)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Tiger at (1685,4490)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Lion at (4074,652)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Tiger at (5783,284)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Tiger at (1644,338)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Lynx at (5909,4723)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Leopard at (339,153)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Tiger at (2608,4218)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Crocodile at (4881,652)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Piranha at (4917,162)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Eagle at (5022,754)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Lion at (201,525)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Lynx at (1250,1688)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Fox at (4057,2743)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Leopard at (2872,11)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Crocodile at (3911,4616)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Lion at (6382,2281)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Raccoon at (4982,4333)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Beetle at (642,4609)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Butterfly at (653,24)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Boar at (2910,879)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Raccoon at (3111,1799)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Boar at (1000,3843)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Jellyfish at (5213,6)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Bear at (2212,2437)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Boar at (4749,644)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Beetle at (3155,3489)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Boar at (3218,2558)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Frog at (4909,2842)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Frog at (3676,3745)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Raccoon at (4031,3030)
[2026-06-20 16:29:20.328] [EVT.SPAWN] Bear at (768,4607)
[2026-06-20 16:29:20.333] [EVT.ECO] Initialized: P=150 H=60 C=20 O=15 | Total=245
[2026-06-20 16:29:22.444] [EVT.STATS] T=0,3s P=150 H=60 C=20 O=15 Total=245
[2026-06-20 16:29:23.446] [EVT.SPAWN] Toadstool at (139,1445)
[2026-06-20 16:29:23.548] [EVT.SPAWN] Toadstool at (2008,3716)
[2026-06-20 16:29:23.656] [EVT.SPAWN] Toadstool at (1926,1937)
[2026-06-20 16:29:23.656] [EVT.SPAWN] Flowers at (3524,3179)
[2026-06-20 16:29:23.656] [EVT.SPAWN] Plant at (546,2000)
[2026-06-20 16:29:23.656] [EVT.SPAWN] Flowers at (98,1805)
[2026-06-20 16:29:23.656] [EVT.SPAWN] BerryBush at (2480,780)
[2026-06-20 16:29:23.742] [EVT.SPAWN] Flowers at (4361,2905)
[2026-06-20 16:29:23.842] [EVT.SPAWN] BerryBush at (5038,1859)
[2026-06-20 16:29:23.842] [EVT.SPAWN] Mushroom at (2235,3792)
[2026-06-20 16:29:23.943] [EVT.SPAWN] Toadstool at (4144,2029)
[2026-06-20 16:29:23.943] [EVT.SPAWN] Plant at (66,3156)
[2026-06-20 16:29:24.043] [EVT.SPAWN] Cactus at (4773,2959)
[2026-06-20 16:29:24.043] [EVT.SPAWN] Pine at (3163,1673)
[2026-06-20 16:29:24.043] [EVT.SPAWN] Moss at (3922,1788)
[2026-06-20 16:29:24.142] [EVT.SPAWN] Moss at (972,213)
[2026-06-20 16:29:24.255] [EVT.SPAWN] Moss at (37,1714)
[2026-06-20 16:29:24.255] [EVT.SPAWN] Pine at (1260,2333)
[2026-06-20 16:29:24.255] [EVT.SPAWN] BerryBush at (937,4494)
[2026-06-20 16:29:24.255] [EVT.SPAWN] Mushroom at (862,1868)
[2026-06-20 16:29:24.255] [EVT.SPAWN] Flowers at (831,2324)
[2026-06-20 16:29:24.347] [EVT.SPAWN] Toadstool at (1385,4)
[2026-06-20 16:29:24.347] [EVT.SPAWN] Flowers at (4120,3193)
[2026-06-20 16:29:24.347] [EVT.SPAWN] Flowers at (1450,1062)
[2026-06-20 16:29:24.347] [EVT.SPAWN] Toadstool at (80,1380)
[2026-06-20 16:29:24.347] [EVT.SPAWN] BerryBush at (1062,528)
[2026-06-20 16:29:24.443] [EVT.SPAWN] Cactus at (2160,2972)
[2026-06-20 16:29:24.443] [EVT.SPAWN] GrassTuft at (1564,572)
[2026-06-20 16:29:24.443] [EVT.SPAWN] Pine at (1262,1654)
[2026-06-20 16:29:24.443] [EVT.SPAWN] GrassTuft at (2927,4075)
[2026-06-20 16:29:24.443] [EVT.SPAWN] Plant at (2921,3259)
[2026-06-20 16:29:24.543] [EVT.SPAWN] Plant at (5762,4393)
[2026-06-20 16:29:24.543] [EVT.SPAWN] Pine at (925,455)
[2026-06-20 16:29:24.543] [EVT.SPAWN] Toadstool at (4478,2365)
[2026-06-20 16:29:24.543] [EVT.SPAWN] Cactus at (2671,2889)
[2026-06-20 16:29:24.543] [EVT.SPAWN] Mushroom at (3857,2758)
[2026-06-20 16:29:24.543] [EVT.SPAWN] Plant at (843,4743)
[2026-06-20 16:29:24.543] [EVT.SPAWN] Flowers at (4352,4517)
[2026-06-20 16:29:24.653] [EVT.SPAWN] Toadstool at (1935,3783)
[2026-06-20 16:29:24.654] [EVT.SPAWN] Toadstool at (3454,3353)
[2026-06-20 16:29:24.654] [EVT.SPAWN] Toadstool at (2497,3624)
[2026-06-20 16:29:24.654] [EVT.SPAWN] Flowers at (5107,1351)
[2026-06-20 16:29:24.743] [EVT.DEATH] Mushroom died at age 2,3s, energy -2,4
[2026-06-20 16:29:24.749] [EVT.SPAWN] Mushroom at (4584,3824)
[2026-06-20 16:29:24.749] [EVT.SPAWN] Flowers at (361,2199)
[2026-06-20 16:29:24.750] [EVT.SPAWN] Toadstool at (1515,4490)
[2026-06-20 16:29:24.850] [EVT.SPAWN] Flowers at (3824,2031)
[2026-06-20 16:29:24.850] [EVT.SPAWN] Pine at (2308,384)
[2026-06-20 16:29:24.850] [EVT.SPAWN] Plant at (557,1997)
[2026-06-20 16:29:24.850] [EVT.SPAWN] Flowers at (693,2439)
[2026-06-20 16:29:24.850] [EVT.SPAWN] Pine at (5209,2098)
[2026-06-20 16:29:24.851] [EVT.SPAWN] Mushroom at (6072,3604)
[2026-06-20 16:29:24.851] [EVT.SPAWN] Cactus at (3456,4524)
[2026-06-20 16:29:24.851] [EVT.SPAWN] Flowers at (62,1729)
[2026-06-20 16:29:24.851] [EVT.SPAWN] BerryBush at (3370,893)
[2026-06-20 16:29:24.943] [EVT.SPAWN] Toadstool at (1915,1879)
[2026-06-20 16:29:24.943] [EVT.SPAWN] Flowers at (3498,3112)
[2026-06-20 16:29:24.943] [EVT.SPAWN] BerryBush at (2440,775)
[2026-06-20 16:29:25.043] [EVT.SPAWN] Flowers at (784,2963)
[2026-06-20 16:29:25.143] [EVT.SPAWN] Plant at (5982,1418)
[2026-06-20 16:29:25.144] [EVT.SPAWN] Cactus at (4321,2173)
[2026-06-20 16:29:25.144] [EVT.SPAWN] Flowers at (4379,2908)
[2026-06-20 16:29:25.144] [EVT.SPAWN] GrassTuft at (1192,3807)
[2026-06-20 16:29:25.144] [EVT.SPAWN] Moss at (5989,3916)
[2026-06-20 16:29:25.243] [EVT.SPAWN] Plant at (4809,1013)
[2026-06-20 16:29:25.243] [EVT.SPAWN] BerryBush at (3658,2827)
[2026-06-20 16:29:25.243] [EVT.SPAWN] BerryBush at (5135,3494)
[2026-06-20 16:29:25.243] [EVT.SPAWN] Plant at (1949,672)
[2026-06-20 16:29:25.243] [EVT.SPAWN] Flowers at (5996,856)
[2026-06-20 16:29:25.243] [EVT.SPAWN] BerryBush at (5016,1893)
[2026-06-20 16:29:25.243] [EVT.SPAWN] Moss at (5673,2063)
[2026-06-20 16:29:25.243] [EVT.SPAWN] Moss at (3977,2091)
[2026-06-20 16:29:25.243] [EVT.SPAWN] GrassTuft at (5247,4622)
[2026-06-20 16:29:25.343] [EVT.SPAWN] BerryBush at (2428,2016)
[2026-06-20 16:29:25.343] [EVT.SPAWN] Mushroom at (2333,3834)
[2026-06-20 16:29:25.343] [EVT.SPAWN] Toadstool at (90,1403)
[2026-06-20 16:29:25.430] [EVT.SPAWN] Toadstool at (110,1475)
[2026-06-20 16:29:25.443] [EVT.SPAWN] Toadstool at (4122,2033)
[2026-06-20 16:29:25.443] [EVT.SPAWN] Mushroom at (1662,2382)
[2026-06-20 16:29:25.543] [EVT.SPAWN] GrassTuft at (1612,4031)
[2026-06-20 16:29:25.543] [EVT.SPAWN] Pine at (1311,4098)
[2026-06-20 16:29:25.543] [EVT.SPAWN] Flowers at (5684,3960)
[2026-06-20 16:29:25.543] [EVT.SPAWN] Mushroom at (890,2058)
[2026-06-20 16:29:25.543] [EVT.SPAWN] Plant at (77,3103)
[2026-06-20 16:29:25.543] [EVT.SPAWN] Toadstool at (1120,3117)
[2026-06-20 16:29:25.543] [EVT.SPAWN] Cactus at (2577,1473)
[2026-06-20 16:29:25.743] [EVT.SPAWN] Toadstool at (1976,3843)
[2026-06-20 16:29:25.743] [EVT.SPAWN] Moss at (1057,160)
[2026-06-20 16:29:25.743] [EVT.SPAWN] Cactus at (4674,3003)
[2026-06-20 16:29:25.743] [EVT.SPAWN] Pine at (5448,2861)
[2026-06-20 16:29:25.743] [EVT.SPAWN] Moss at (3905,1815)
[2026-06-20 16:29:25.831] [EVT.SPAWN] Toadstool at (1979,3768)
[2026-06-20 16:29:25.843] [EVT.SPAWN] Moss at (69,1838)
[2026-06-20 16:29:25.843] [EVT.SPAWN] GrassTuft at (1088,4735)
[2026-06-20 16:29:25.843] [EVT.SPAWN] GrassTuft at (2655,3275)
[2026-06-20 16:29:25.843] [EVT.SPAWN] Plant at (1047,2772)
[2026-06-20 16:29:25.843] [EVT.SPAWN] Toadstool at (5203,3220)
[2026-06-20 16:29:25.843] [EVT.SPAWN] Pine at (6089,4487)
[2026-06-20 16:29:25.948] [EVT.SPAWN] Moss at (4100,1733)
[2026-06-20 16:29:25.948] [EVT.SPAWN] Mushroom at (970,1859)
